"#","Reference","Qty","Value","Footprint","DNP","Supplier"
"1","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12","12","100nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","","https://www.digikey.ch/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K20X7RH5TL2/286568"
"2","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10","10","NEOPIX","Pedalboard Library:LED_D5.0mm-NeoPixel","","https://www.digikey.ch/de/products/detail/sparkfun-electronics/COM-12986/5673799"
"3","D11","1","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","","https://www.digikey.ch/en/products/detail/onsemi/1N4148/458603"
"4","H1, H2, H3, H4, H5, H6, H7, H8, H9","9","MountingHole","MountingHole:MountingHole_2.7mm_M2.5_DIN965","",""
"5","J1","1","MIDI_OUT","Pedalboard Library:CP-2350","","https://www.digikey.ch/de/products/detail/switchcraft-inc/57PC5F/275385"
"6","J2","1","MIDI_IN","Pedalboard Library:CP-2350","","https://www.digikey.ch/de/products/detail/cui-devices/SDS-50J/97033"
"7","J3","1","EXP","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","","https://www.digikey.ch/de/products/detail/schurter-inc/4833-2320/2644235"
"8","J4","1","RGB_LED_EXT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","","https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/61300311021/4846824"
"9","J5","1","Pico USB TP","Pedalboard Library:Spring_Loaded_Pins_2mm","","https://www.digikey.ch/de/products/detail/mill-max-manufacturing-corp/0906-0-15-20-76-14-11-0/1147048"
"10","J6","1","USB_A","Pedalboard Library:USB A BCB Male Plug","","https://www.digikey.ch/de/products/detail/gct/USB1061-GF-L-A/10649776"
"11","J7","1","Raspberry_pi","Pedalboard Library:Raspberry PI Compute Module CM4 Nano A","","https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/61304021121/4846886"
"12","J8","1","HiFi Berry","Pedalboard Library:HiFi Berry DAC ADC+","","https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/61304021821/16608657"
"13","J9","1","Audio IN Right","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","","https://www.digikey.ch/de/products/detail/schurter-inc/4833-2320/2644235"
"14","J10","1","Audio IN Left","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","","https://www.digikey.ch/de/products/detail/schurter-inc/4833-2320/2644235"
"15","J11","1","Audio OUT Right","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","","https://www.digikey.ch/de/products/detail/schurter-inc/4833-2320/2644235"
"16","J12","1","Audio OUT Left","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","","https://www.digikey.ch/de/products/detail/schurter-inc/4833-2320/2644235"
"17","J15","1","MIDI IN/OUT","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Horizontal","","https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/61300621021/4846834"
"18","J16","1","MIDI OUT J","Pedalboard Library:Jack_3.5mm_CUI_SJ1-3525N_Horizontal","","https://www.digikey.ch/de/products/detail/cui-devices/SJ1-3525NG/738690"
"19","J17","1","MIDI IN J","Pedalboard Library:Jack_3.5mm_CUI_SJ1-3525N_Horizontal","","https://www.digikey.ch/de/products/detail/cui-devices/SJ1-3525NG/738690"
"20","L1","1","1K@100MHz","Inductor_THT:L_Axial_L6.6mm_D2.7mm_P10.16mm_Horizontal_Vishay_IM-2","","https://www.digikey.ch/en/products/detail/fair-rite-products-corp/2743005111/8599429"
"21","L2, L3, L4, L5","4","1K@100MHz","Inductor_THT:L_Axial_L6.6mm_D2.7mm_P10.16mm_Horizontal_Vishay_IM-2","","https://www.digikey.de/en/products/detail/fair-rite-products-corp/2743005111/8599429"
"22","R1","1","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","https://www.digikey.ch/de/products/detail/koa-speer-electronics-inc/CF1-4C221J/13537314"
"23","R2, R5","2","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","https://www.digikey.ch/de/products/detail/koa-speer-electronics-inc/CF1-4C471J/13537235"
"24","R3","1","33","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","https://www.digikey.ch/de/products/detail/koa-speer-electronics-inc/CF1-4C330J/13537493"
"25","R4","1","10","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","https://www.digikey.ch/de/products/detail/koa-speer-electronics-inc/CF1-4C100J/13537327"
"26","SW1","1","D","Button_Switch_THT:SW_PUSH-12mm_Wuerth-430476085716","","https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/430466043726/5209037"
"27","SW2","1","E","Button_Switch_THT:SW_PUSH-12mm_Wuerth-430476085716","","https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/430466043726/5209037"
"28","SW3","1","F","Button_Switch_THT:SW_PUSH-12mm_Wuerth-430476085716","","https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/430466043726/5209037"
"29","SW4","1","A","Button_Switch_THT:SW_PUSH-12mm_Wuerth-430476085716","","https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/430466043726/5209037"
